place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"calgary, alberta",ab,51.0342,-114.0663,gathering too closely in a park and refusing to separate,$1200 fines,yes,1200,3,3,individual,apr,calgary by-law officers,provincial public health order,3 men,"three men each got $1,200 fines friday evening for allegedly gathering too closely in lindsay park and refusing to separate",https://calgaryherald.com/news/city-doles-out-first-fines-for-breaking-covid-19-physical-distancing-rules/,
"calgary, alberta",ab,51.0447,-114.0719,being in a fenced-off skate park,$400 ticket,yes,400,Being in a fenced-off skate park,3,individual,apr,calgary by-law officers,provincial public health order,not specified,three people were also slapped with $400 tickets for being in a fenced-off skate park,https://calgaryherald.com/news/city-doles-out-first-fines-for-breaking-covid-19-physical-distancing-rules/,
"brampton, ontario",on,43.7315,-79.7624,operating a non-essential business,court summons or $880 fine,maybe,,11,7,business,apr,brampton by-law officers,emergency management act,"brick-and-mortar hair salon, home-based hair salon, a person selling produce out of their vehicle in a parking lot, unlicensed cannabis dispensary, three contractor businesses doing exterior and interior work on residential properties.",seven non-essential businesses have been investigated with 13 charges laid,https://www.bramptonguardian.com/news-story/9966391-brampton-issues-18-fines-for-businesses-violating-coronavirus-measures/,
"brampton, ontario",on,43.7315,-79.7624,essential business not following physical distancing guidelines,courts summons or $880 fine,maybe,,4,4,business,mar,brampton by-law officers,emergency management act,not specified,four essential businesses were fined for not following social distancing guidelines,https://www.bramptonguardian.com/news-story/9966391-brampton-issues-18-fines-for-businesses-violating-coronavirus-measures/,
"aurora, ontario",on,43.9931,-79.45915,standing too long in a park that is open for walk-through only,$880 fine,yes,880,1,1,individual,apr,town of aurora by-law,emergency management and civil protecting act,mother with teething baby and dog,an aurora mom was ticketed $880 for òstanding too longó in a park under emergency coronavirus restrictions while out with her teething baby and family dog,https://www.yorkregion.com/news-story/9966407--shocked-embarrassed-and-scared-aurora-mom-shaken-by-coronavirus-ticket/,
"winnipeg, manitoba",mb,49.8434,-97.2711,refusing to leave a closed park,ticket and court summons,yes,486,1,1,individual,apr,"city of winnipeg by-law officers, winnipeg police service (to confirm identity)",city health order & provincial offences act,male skateboarder with 35-40 others (who left and were not ticketed),the city said its bylaw officers issued a ticket to a skateboarder after he refused to leave a closed park on monday when asked to do so,https://globalnews.ca/news/6895000/first-winnipeg-public-health-scofflaw-skateboarder/,https://www.cbc.ca/news/canada/manitoba/2nd-ticket-issued-public-health-enforcement-winnipeg-1.5556585
"barrie, ontario",on,44.3894,-79.6903,entering a park that had no admittance,fine,yes,880,2,2,individual,apr,barrie bylaw officers,emergency management and civil protection act,not specified,two fines were handed out under covid-19 emergency orders for entering a park that had no admittance,https://globalnews.ca/news/6903850/barrie-over-100-coronavirus-complaints/,
"london, ontario",on,42.9849,-81.2453,entering a closed soccer field,1 charge,yes,880,1,1,individual,may,london by-law officers,emergency management and civil protection act,not specified,one charge was issued to an individual who scaled a fence to get onto a locked soccer field,https://globalnews.ca/news/6903253/coronavirus-london-ontario-social-distancing-restrictions-fines/,
"cornwall/sdg, ontairo",on,45.0183,-74.7153,"non-essential business open, gathering of 30-50 people",failing to comply with an order made during a declared emergency,maybe,,1,1,business,mar,cornwall police service,emergency management and civil protection act,owner of bar,bar holding a st. patrick's day party with 30-50 patrons,https://www.standard-freeholder.com/news/local-news/eight-covid-19-related-fines-issued-in-cornwall-sdg,
"cornwall/sdg, ontario",on,45.0152,-74.7364,not following some of the measures established by the eohu,$880 fine,yes,880,1,1,business,apr,cornwall police service,emergency management and civil protection act,macmillans milk store,macmillans milk store was handed an $880 fine for not following some of the measures established by the eohu,https://www.standard-freeholder.com/news/local-news/eight-covid-19-related-fines-issued-in-cornwall-sdg,
"caledonia, ontario",on,43.0727381,-79.931387,continuing to operate a non-essential business,"court summons, possession of cannabis for the purpose of selling, operating a non-essential business",no,,4,2,business,may,ontario provincial police,"criminal code, emergency management and civil protection act","35-year-old man, 35-year-old woman",non-essential business charge for caledonia duo after opp bust online cannabis business,https://www.thespec.com/news/crime/2020/05/11/non-essential-business-charge-for-caledonia-duo-after-opp-bust-online-cannabis-business.html,
"montreal, quebec",qc,45.5017,-73.5673,failing to socially distance,$1546 fine or court summons,yes,1546,208,208,individual,may,service de police de la ville de montral,public health act,not specified,la police de montral a annonc lundi matin avoir mis 208 constats ou rapports dinfraction gnraux entre le 26 avril et le 3 mai,https://www.lapresse.ca/covid-19/202005/04/01-5272067-soleil-en-hausse-constats-dinfraction-en-baisse.php,
"trois-rivieres, quebec",qc,46.343,-72.5421,non-compliance with public health instructions,unspecified,maybe,1546,12,12,individual,may,police de trois-rivires,health protection act,not specified,unspecified,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/distanciation-sociale-5000-constats-dinfraction-au-quebec-dont-26-a-trois-rivieres-50566e49cb1acbb9b896a822586456fe,
quebec,qc,46.8139,-71.208,non-compliance with public health order,possible fine of $1546-6000.,yes,1546,1147,1147,individual,may,surete du quebec,public health act,not specified,unspecified,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/distanciation-sociale-5000-constats-dinfraction-au-quebec-dont-26-a-trois-rivieres-50566e49cb1acbb9b896a822586456fe,
quebec,qc,46.8139,-71.208,violating a public health order,possible fines of $1546-6000,yes,1546,1209,1209,individual,may,all police forces,public health act,not specified,unspecified,https://www.lenouvelliste.ca/actualites/justice-et-faits-divers/distanciation-sociale-5000-constats-dinfraction-au-quebec-dont-26-a-trois-rivieres-50566e49cb1acbb9b896a822586456fe,
"longueuil, quebec",qc,45.5369,-73.5107,failure to physical distance/comply with minimal gathering rules,$1586 fine,yes,1546,39,39,individual,may,service de police de l'agglomeration de longueuil,health protection act,not specified,"longueuil police have been giving warnings first. if people don't comply, they get a ticket. so far, there have been 77 fines issued for gathering",https://www.cbc.ca/news/canada/montreal/quebec-public-health-restrictions-fines-police-1.5553351,
"longueuil, quebec",qc,45.5369,-73.5107,operating a non-essential business,ticket,yes,1546,2,2,business,may,service de police de l'agglomeration de longueuil,public health act,not specified,two non-essential business owners were ticketed for refusing to close,https://www.cbc.ca/news/canada/montreal/quebec-public-health-restrictions-fines-police-1.5553351,
"edmonton, alberta",ab,53.5461,-113.4938,failing to provide identification to a peace officer and participating in a gathering of more than 15 people,court summons,no,,2,1,individual,may,edmonton police service,public health act,man protesting public health orders,eps charged one individual with two offences under the public health acts pandemic orders for obstruction (failing to provide identification to a peace officer) and participating in a gathering of more than 15 people for protesting public health orders,https://edmontonjournal.com/news/crime/province-looking-into-arrest-during-protest-at-legislature-sunday/,
"moncton, new brunswick",nb,46.1162,-64.6884,crossing provincial border for non-essential reasons,$292 fine and forced to fly back to toronto,yes,292,1,1,individual,may,department of public safety peace officers,emergency measures act,"19-year-old man, names suggests he is racialized","on friday, arefi pleaded guilty to violating the province's emergency measures order after he flew into moncton and refused to obey provincial enforcement officers who told him he could not stay and had to fly home to toronto",https://www.cbc.ca/news/canada/new-brunswick/nb-test-case-court-closed-borders-1.5562240,https://www.cbc.ca/news/canada/new-brunswick/arefi-airport-moncton-follow-1.5562273
"calgary, alberta",ab,51.08213,-114.03049,price gouging items to prevent the spread of covid-19 including masks and hand sanitizer,court summons,no,,1,1,business,may,service albertas consumer investigations unit (ciu),consumer protection legislation,"man, chinese background",business did not comply with an order/warning to stop price gouging on items such as masks and hand sanitizer,https://globalnews.ca/news/6922426/coronavirus-calgary-business-charged-price-gouging-service-alberta/,
"richmond, british columbia",bc,49.1666,-123.1336,selling unauthorized covid-19 tests,"arrest made, charges pending",no,,0,1,business,apr,rcmp in partnership with health canada,food safety legislation,not specified,"rcmp in partnership with health canada arrested a richmond, b.c. resident and seized 1,571 fake testing kits that were being sold online",https://ca.sports.yahoo.com/news/covid-19-scam-fake-health-kits-225321724.html,
"burlington, ontario",on,43.3255,-79.799,ignoring a sign and jumping a fence to play soccer in a closed facility,ticket,yes,880,2,2,individual,may,burlington by-law enforcement,by-law,not specified,two individuals received tickets after allegedly ignoring a sign and jumping a fence to play soccer in a closed facility,https://www.thestar.com/news/gta/2020/05/09/burlington-responds-to-more-than-2000-calls-reporting-coronavirus-rule-violators.html,
"edmonton, alberta",ab,53.5335,-113.5066,"unspecified, contravened section 73(1) of the public health act",$1200 fine,yes,1200,1,1,individual,may,alberta sheriffs branch,public health act,"man, appears to be white in his 50s","an edmonton man is challenging a $1,200 fine under the public health act given to him during a demonstration at the alberta legislature protesting shutdowns related to covid-19",https://edmontonjournal.com/news/local-news/edmonton-man-challenges-1200-covid-19-ticket-over-demonstration-at-legislature/,
"northern district, saskatchewan",sk,53.2518,-105.0985,unspecified,charge laid,yes,2000,1,1,individual,may,royal canadian mounted police,public health act,not specified,one charge was laid in the northern district of the province,https://leaderpost.com/news/local-news/covid-19-live-updates-lack-of-social-distancing-a-concern-in-the-north/,https://www.weyburnreview.com/news/law-enforcement/saskatchewan-rcmp-investigates-covid-complaints-1.24132283
"laval, quebec",qc,45.6139,-73.7304,operating or frequenting a cafe (non-essential business),$1546 fine,yes,1546,42,42,business,may,service de police de laval,public health act and municipal by-laws,individuals frequenting a cafe known for mafia connections,les policiers ont distribu la semaine dernire une quarantaine de constats dinfraction pour non-respect des mesures de la sant publique aux clients et propritaires dõun caf de laval (known for mafia connections),https://www.lapresse.ca/covid-19/202005/04/01-5272156-pluie-de-constats-dans-un-repaire-de-la-mafia.php?fbclid=IwAR30fe3Qv7sYVjoxkC7hbUp618UH0dHLCN7jRzYMf9TW5QfqmNat3QjOGaE,
"ancaster, ontario",on,43.2178,-79.9873,gun and drug charges and unspecified covid-19 charge,"unspecified gun and drug charges, as well as a a charge for not complying with covid-19-era laws",no,,6,2,individual,apr,hamilton police service,"criminal code, unspecified covid-19 legislation","man 29, woman 28","ancaster couple face charges after police find handguns, cocaine and $170k in cash",https://www.cbc.ca/news/canada/hamilton/ancaster-couple-guns-cocaine-cash-1.5559152,
"waterloo region, ontario",on,43.4643,-80.5204,non-essential business,charge laid,maybe,880,4,4,business,may,waterloo regional police service,emergency management and civil protection act,"2 nail salons, 1 tattoo parlour, 1 vape shop",new charges laid in waterloo region last week over not heeding covid-19 restrictions,https://kitchener.ctvnews.ca/four-new-charges-laid-in-waterloo-region-last-week-over-not-heeding-covid-19-restrictions-1.4927475,
"waterloo region, ontario",on,43.4643,-80.5204,too many people gathered in one place,charges laid,maybe,880,3,3,individual,may,waterloo regional police service,emergency management and civil protection act,"1 man, 2 unspecified","a private residence in waterloo that had more than five people gathered, two instances in a public space in cambridge where too many people were gathered in one place",https://kitchener.ctvnews.ca/four-new-charges-laid-in-waterloo-region-last-week-over-not-heeding-covid-19-restrictions-1.4927475,
"yukon, whitehorse",yt,64.2823,-135,failing to stay home for 14 days on arrival in yukon,$500 fine,yes,500,1,1,individual,apr,unspecified,civil emergency measures act,"man, name suggests he's racialized, a financial services advisor at cibc",a whitehorse man has been fined $500 for failing to self-isolate after returning to the yukon from calgary last month,https://www.cbc.ca/news/canada/north/yukon-man-fine-self-isolate-1.5558597,https://www.yukon-news.com/news/whitehorse-man-fined-500-for-failing-to-self-isolate-after-returning-from-outside/
"london, ontario",on,42.9849,-81.2453,scaling fence onto a locked soccer pitch,charged,yes,880,1,1,individual,may,london bylaw officers,emergency management and civil protection act,man entering soccer field,london man charged for scaling fence onto soccer pitch in weekend covid-19 bylaw sweep,https://www.cbc.ca/news/canada/london/london-ontario-covid-rules-bylaws-1.5555135,
"windsor, ontario",on,42.3149,-83.0364,violating an emergency order,ticket,yes,880,2,2,individual,may,windsor police service,emergency management and civil protection act,not specified,two tickets were issued for violating an emergency order,https://windsor.ctvnews.ca/windsor-police-got-72-covid-19-related-calls-last-week-1.4924059,
"winnipeg, manitoba",mb,49.8998,-97.1812,attending a closed skate park,court summons,no,,1,1,individual,apr,winnipeg by-law officers,public health act,adult male at a skate park,"the man was informed the skate park was closed and he became aggressive and defiant, continuing to use the facility and not complying with requests to leave",https://winnipeg.ctvnews.ca/second-ticket-handed-out-in-winnipeg-for-not-following-physical-distancing-1.4926075,https://www.cbc.ca/news/canada/manitoba/2nd-ticket-issued-public-health-enforcement-winnipeg-1.5556585
"winnipeg, manitoba",mb,49.8951,-97.1384,operating a non-essential business,"$2,542 fine",yes,2542,2,2,business,may,manitoba public health,public health act,body-rub parlour and skin/cosmetics salon,two winnipeg businesses were shut down and fined thousands of dollars last week for flouting public health orders in place to slow the spread of covid-19 in the city,https://www.cbc.ca/news/canada/manitoba/winnipeg-public-health-order-covid-19-violation-body-rub-parlour-skincare-centre-1.5563662?fbclid=IwAR0y1N7_zaZDMMf5B-J0hM8CZCgpa-MiSxqm2RCEyakTLP85y-uwqiXnZZU,https://globalnews.ca/news/6928477/body-rub-parlour-salon-the-latest-to-be-fined-by-manitoba-public-health/
"vancouver, british columbia",bc,49.278613,-123.103352,"playing pick-up soccer, failure to physical distance","fine, told to self-quarantine for 14 days",yes,,2,2,individual,may,vancouver whitecaps,unspecified football club policy,2 male players fined by their football club,"two vancouver whitecaps players fined, told to self-quarantine for breaking social-distancing rules",https://globalnews.ca/news/6916190/vancouver-whitecaps-social-distance-coronavirus/,
"edmonton, alberta",ab,53.5541453,-113.4919477,operating a non-essential business,ordered to close,no,,2,2,business,may,alberta health services officers,public health act,"hair salons, customer was a man",a second edmonton salon has been ordered to close after it was found operating in violation of albertas public health orders,https://edmonton.ctvnews.ca/salon-caught-giving-haircut-ordered-to-close-1.4925608,
"victoria, british columbia",bc,48.4439,-123.3639,homeless camp,arrested,no,,8,8,individual,may,"victoria police department, victoria by-law",unspecified evacuation order,8 homeless people,eight people have been arrested as officials worked to clear tent camps at two locations in victoria,https://vancouverisland.ctvnews.ca/victoria-police-arrest-8-while-clearing-tents-from-pandora-ave-topaz-park-1.4953352,https://www.citynews1130.com/2020/05/24/arrests-made-pandora-victoria/
"laurentian mountains, quebec",qc,47.32,-70.83,"gathering of more than 10 people, not physically distancing","court summons, fine between $1000-6000",yes,1546,12,12,individual,may,police (unspecified),health protection act,12 adults plus kids and teens celebrating an elderly family member's birthday,"12 people face fines up to $6,000 for not-physically-distanced party in quebec resort town",https://montreal.ctvnews.ca/12-people-face-fines-up-to-6-000-for-not-physically-distanced-party-in-quebec-resort-town-1.4954414,
"brandon, manitoba",mb,49.842088,-99.970954,"failing to follow ""direction given to take immediate and adequate precautions to control or minimize the risk of transmission of a communicable disease"" after an employee tested positive for covid-19",fine $5084,yes,5084,2,1,business,may,public health officials accompanied by brandon police service,public health act,private home-care business,southwestern manitoba home-care business fined more than $5k for violating emergency public health orders after employee tests positive for covid-19,https://www.cbc.ca/news/canada/manitoba/brandon-home-care-covid-19-fines-1.5582013,
"calgary, alberta",ab,51.0629,-114.0235,not socially distancing while playing soccer with his kids and others in a public park,fine $1200,yes,1200,1,1,individual,may,calgary police service,public health act,father playing soccer with his kids,"calgary father fined $1,200 for not social distancing despite claim he followed the rules",https://calgary.ctvnews.ca/calgary-father-fined-1-200-for-not-social-distancing-despite-claim-he-followed-the-rules-1.4950904,
"richmond, british columbia",bc,49.1666,-123.1336,failure to self-isolate for 14 days after arriving in canada from international travelling,fine $1000,yes,1000,1,1,individual,may,royal canadian mounted police and public health agency of canada,quarantine act,international traveller,"a richmond resident has been fined $1,000 for not following federal and provincial orders to self-isolate for 14 days after arriving in canada from international travelling",https://www.vernonmorningstar.com/news/b-c-traveller-fined-1000-for-not-following-mandatory-social-isolation-rules/,
"thompson, manitoba",mb,55.7449,-97.8509,violating non-essential travel ban,fine $486,yes,486,8,8,individual,may,royal canadian mounted police,public health act,visiting family and friends in northern manitoba,rcmp charge 8 people for breaking non-essential travel ban to northern manitoba,https://www.cbc.ca/news/canada/manitoba/covid-19-public-health-order-warnings-1.5575468,
"calgary, alberta",ab,51.0447,-114.0719,operating a business too soon,fine $1000,yes,1000,2,2,business,may,calgary emergency management agency,emergency management act,body-rub parlours,2 calgary massage businesses ticketed for reopening too soon amid covid-19 pandemic,https://globalnews.ca/news/6937687/city-of-calgary-to-update-citizens-on-covid-19-response-tuesday-afternoon/,
saskatchewan,sk,52.9399,-106.4509,violating a public health order,unspecified,maybe,2000,9,9,individual,may,royal canadian mounted police,public health act,not specified,rcmp laid nine charges in saskatchewan related to covid-19,https://www.estevanmercury.ca/news/law-enforcement/rcmp-laid-nine-charges-in-saskatchewan-related-to-covid-19-1.24136089,
"brampton, ontario",on,43.70851,-79.734264,not following governmental regulations surrounding social distancing while operating their essential business,fine,yes,880,1,1,business,may,city of brampton by-law,municipal by-law,oceans grocer,oceans grocer in brampton charged after city says it ignored multiple covid-19 bylaw violation warnings,https://www.bramptonguardian.com/news-story/9989819-oceans-grocer-in-brampton-charged-after-city-says-it-ignored-multiple-covid-19-bylaw-violation-warnings/,
saskatchewan,sk,50.4452,-104.6189,failure to self-isolate,held in remand,no,,5,5,individual,may,public health,public health act,people who refuse or who cannot self-isolate due to lack of suitable accomodations,concerns raised about sask. practice of detaining covid-19 patients who refuse or cannot self-isolate,https://www.cbc.ca/news/canada/saskatoon/white-birch-remand-detainment-civil-liberties-concerns-covid-19-1.5572904,
nova scotia,ns,44.682,-63.7443,unspecified,ticket issued,yes,697.5,5,5,individual,may,royal canadian mounted police,unspecified,not specified,no details,https://www.cbc.ca/news/canada/nova-scotia/covid-19-summary-offence-tickets-legal-aid-lawyer-help-nova-scotia-1.5567487,
"brampton, ontario",on,43.7315,-79.7624,"failure to physically distance, assaulting a peace officer",fine and charges,yes,880,3,1,individual,may,brampton by-law officers and peel regional police,emergency management and civil protection act,not specified,an individual was fined for not physically distancing and proceeded to assault a by-law officer and a police officer,https://www.inbrampton.com/brampton-issues-55-additional-physical-distancing-fines-amid-covid-19-outbreak,
"brampton, ontario",on,43.7315,-79.7624,failing to physically distance,fine,yes,880,19,19,individual,may,brampton by-law,emergency management and civil protection act,residential social gathering,19 fines were issued for failing to physically distance at residential gatherings,https://www.inbrampton.com/brampton-issues-55-additional-physical-distancing-fines-amid-covid-19-outbreak,
"brampton, ontario",on,43.7315,-79.7624,non-essential business not permitted to be opened,fine,yes,880,18,18,business,may,brampton by-law,emergency management and civil protection act,"3 hair salons, 2 home businesses",18 non-essential businesses not permitted to be opened were fined,https://www.inbrampton.com/brampton-issues-55-additional-physical-distancing-fines-amid-covid-19-outbreak,
"brampton, ontario",on,43.7315,-79.7624,failing to physically distance,fine,yes,880,17,17,individual,may,brampton by-law,emergency management and civil protection act,not specified,no details available,https://www.inbrampton.com/brampton-issues-55-additional-physical-distancing-fines-amid-covid-19-outbreak,
"barrie, ontario",on,44.3894,-79.6903,covid-19-related offences,charges,yes,880,18,18,individual,may,barrie by-law,emergency management and civil protection act,not specified,"barrie bylaw officers have charged 20 people with covid-19-related offences, seventy-five per cent of those charges are connected to violations involving parks and park amenities",https://www.simcoe.com/news-story/9985846-barrie-bylaw-officers-have-charged-20-people-with-covid-19-related-offences-city-says/,
"dauphin, manitoba",mb,51.149826,-100.049513,failure to comply with the special measures prescribed in the order issued by chief public health officer,fine $486 and restaurant closed,yes,486,1,1,business,may,unspecified,public health act,chinese restaurant,"a restaurant in dauphin, man., is the latest to close and receive a fine for violating the province's covid-19 public health orders",https://winnipeg.ctvnews.ca/another-manitoba-business-fined-for-violating-public-health-orders-1.4935609,
"winnipeg, manitoba",mb,49.8951,-97.1384,violating public health orders,"fines ranging from $486 to $2,542 and business closed",yes,486,4,4,business,may,unspecified,public health act,"2 nail salons, restaurant, beauty salon","since april 20, six winnipeg businesses have received fines from the province and closed due to violating public health orders",https://winnipeg.ctvnews.ca/another-manitoba-business-fined-for-violating-public-health-orders-1.4935609,
"montreal, quebec",qc,45.5017,-73.5673,failing to physically distance,fine,yes,1546,267,267,individual,may,service de police de la ville de montral,public health act,not specified,plus de contraventions concernant la distanciation  montral,https://www.journaldemontreal.com/2020/05/19/covid-19--plus-de-contraventions-concernant-la-distanciation-a-montreal,
"montreal, quebec",qc,45.5017,-73.5673,failing to physically distance,fine,yes,1546,199,199,individual,may,service de police de la ville de montral,public health act,not specified,plus de contraventions concernant la distanciation  montral,https://www.journaldemontreal.com/2020/05/19/covid-19--plus-de-contraventions-concernant-la-distanciation-a-montreal,
"halifax, nova scotia",ns,44.6488,-63.5752,unspecified,ticket,yes,697.5,2,2,individual,may,halifax regional police,health protection act,not specified,halifax regional police have handed out two more tickets over the victoria day weekend for violations of the province's health protection act,https://www.halifaxtoday.ca/coronavirus-covid-19-local-news/hrp-hand-out-2-tickets-for-covid-19-violations-over-the-long-weekend-2360735,
"hamilton, ontario",on,43.2557,-79.8711,"""mostly"" using closed amenities",charges,yes,880,48,48,individual,may,hamilton bylaw officers,emergency management and civil protection act,not specified,"as of friday, they have issued 167 charges, mostly for people caught using closed amenities including escarpment stairs and waterfalls",https://www.thespec.com/news/hamilton-region/2020/05/30/how-the-hamilton-police-marine-unit-is-policing-the-water-during-covid-19.html,
"swan river, manitoba",mb,52.117,-101.2497,open dining room,fine $2542,yes,2542,1,1,business,may,manitoba public health,public health act,an inn with a restaurant/dining hall,"a swan river, man., hotel is facing a fine for failing to comply with provincial health orders around the covid-19 pandemic",https://www.cbc.ca/news/canada/manitoba/manitoba-restaurants-fine-public-health-orders-1.5590913,https://www.manitobapost.com/manitoba-news/covid-19-fines-for-restaurants-118904
"winnipeg, manitoba",mb,49.8951,-97.1384,open dining hall at restaurant contrary to public health legislation,"fines $486-2,542",yes,486,3,3,business,may,manitoba public health,public health act,"middle eastern restaurant, hookah lounge, restaurant",three restaurants have been fined for covid-19 violations,https://www.manitobapost.com/manitoba-news/covid-19-fines-for-restaurants-118904,https://www.cbc.ca/news/canada/manitoba/manitoba-restaurants-fine-public-health-orders-1.5590913
"sudbury, ontario",on,46.4917,-80.993,operating a non-essential business,fine,yes,880,1,1,business,may,sudbury by-law officers,emergency management and civil protection act,not specified,"so far, one fine has been issued for a non-essential business being open",https://www.cbc.ca/news/canada/sudbury/bylaw-covid-19-calls-1.5589962,
"nipawin, saskatchewan",sk,53.3624,-104.013,"using common space in social housing unit, assaulting landlord","assault charges, eviction",no,,2,1,individual,may,"office of residential tenancies of saskatchewan, royal canadian mounted police","social housing rules, criminal code of canada","man living in senior's social housing with alleged anger issues, smoker",nipawin man allegedly assaults landlord due to anger over covid-19 restrictions,https://www.cbc.ca/news/canada/saskatchewan/nipawin-man-angry-covid-19-restrictions-allegedly-assaults-landlord-1.5587439,
"brampton, ontario",on,43.7315,-79.7624,"social gathering in residence or parking lot, more than 5 people",by-law charges,yes,880,52,52,individual,may,brampton by-law officers,covid-19 by-law,"27 in parking lots, 25 in residences","between may 19 and 25, the city said it issued 27 more bylaw charges to people gathering in parking lots and residences",https://www.bramptonguardian.com/news-story/9999096-illegal-coronavirus-parking-lot-parties-becoming-a-thing-in-brampton/,
"edmonton, alberta",ab,53.5461,-113.4938,unspecified violation of the public health act,"ticket, start at $1,000",yes,1000,84,84,individual,apr/may,edmonton police service,public health act,not specified,a total of 86 tickets were issued by edmonton police between 4/8/2020 and 5/27/2020,https://globalnews.ca/news/6987819/covid-19-edmonton-warnings-physical-distancing/,https://public.tableau.com/profile/city.of.edmonton#!/vizhome/CityofEdmontonCOVID-19Dashboard/Summary
"belleville, ontario",on,44.1628,-77.3832,opening a business contrary to covid-19 restrictions,fine $750,yes,880,1,1,business,may,belleville bylaw officers,emergency management and civil protection act,not specified,one ticket issued for opening a business contrary to covid-19 legislation,https://www.intelligencer.ca/news/local-news/few-tickets-but-many-covid-19-complaints,
"belleville, ontario",on,44.1628,-77.3832,group gathering in a public parking lot,fine $750,yes,880,1,1,individual,apr,belleville bylaw officers,emergency management and civil protection act,21-year-old organizer of a group of automotive enthusiasts,city police have issued only one fine ð a $750 ticket resulting from an april 5 gathering of a group of automotive enthusiasts assembled in a parking lot,https://www.intelligencer.ca/news/local-news/few-tickets-but-many-covid-19-complaints,
"belleville, ontario",on,44.1628,-77.3832,unspecified,fine $750,yes,880,1,1,individual,may,belleville bylaw officers,emergency management and civil protection act,not specified,unspecified,https://www.intelligencer.ca/news/local-news/few-tickets-but-many-covid-19-complaints,
"belleville, ontario",on,44.1628,-77.3832,"refusing to cooperate with a bylaw officer, obstruction",fine $1000,yes,1000,1,1,individual,may,belleville bylaw officers,emergency management and civil protection act,man,"a fourth ticket came after a man refused to cooperate with a bylaw officer and was fined $1,000 for obstruction",https://www.intelligencer.ca/news/local-news/few-tickets-but-many-covid-19-complaints,
"waterloo, ontario",on,43.4643,-80.5204,gatherings of more than 5 people at private residences,fine $750,yes,880,3,3,individual,may,waterloo bylaw officers,emergency management and civil protection act,ticket given to the tenant or property owner,three charges laid for gatherings of more than five people in waterloo,https://kitchener.ctvnews.ca/three-charges-laid-for-gatherings-of-more-than-five-people-in-waterloo-1.4956855,https://globalnews.ca/news/6993158/waterloo-coronavirus-fines/
"waterloo, ontario",on,43.4643,-80.5204,unspecified,fine $750,yes,880,3,3,individual,may,unspecified,emergency management and civil protection act,not specified,a total of 15 charges have been laid for not complying with the province's emergency orders,https://kitchener.ctvnews.ca/three-charges-laid-for-gatherings-of-more-than-five-people-in-waterloo-1.4956855,
"brampton, ontario",on,43.7315,-79.7624,unlicensed business selling produce out of a car in a parking lot,charge laid,maybe,880,1,1,business,may,brampton bylaw officers,emergency management and civil protection act,unlicensed business selling produce out of a car in a parking lot,one charge was issued for an unlicensed business selling produce in a parking lot,https://www.inbrampton.com/brampton-issues-56-additional-physical-distancing-fines-amid-covid-19-outbreak,
"brampton, ontario",on,43.7315,-79.7624,using equipment in a park,fine $880,yes,880,3,3,individual,may,brampton bylaw officers,emergency management and civil protection act,not specified,three charges were laid for using park equipment,https://www.inbrampton.com/brampton-issues-56-additional-physical-distancing-fines-amid-covid-19-outbreak,
saskatchewan,sk,52.9399,-106.4509,unspecified,charge laid,maybe,2000,1,1,individual,may,royal canadian mounted police,public health act,not specified,one charge laid,https://www.swiftcurrentonline.com/local/saskatchewan-rcmp-continue-seeing-covid-related-calls-for-service,
"toronto, ontario",on,43.6532,-79.3832,attending closed park and/or not physically distancing at a park,tickets issued,yes,880,84,84,individual,may,toronto police service and toronto bylaw officers,emergency management and civil protection act,not specified,tickets issued for attending a closed park or not physically distancing at a park,https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-enforcement/,
"toronto, ontario",on,43.6532,-79.3832,operating a non-essential business,"tickets issued, mininum of 880",yes,880,18,18,business,may,municipal licensing & standards and toronto public health,emergency management and civil protection act,not specified,"since march 24, municipal licensing & standards and toronto public health have issued 100 tickets and 215 notices to non-essential businesses",https://www.toronto.ca/news/city-of-toronto-update-on-covid-19-enforcement/,
"ottawa, ontario ",on,45.3999984,-75.6499974,open non-essential business,$880.00 ,yes,880,1,18,individual,apr,ottawa bylaw officers,emergency management and civil protection act,"not specified, one black man was punched by by-law officer and fined $2000.00 ",here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884703
